id,title,shortForm,description
proj-ps2c,Planetside 2 Companion,A dual-purpose app to allow general querying of player statistics and plugging into an EventStream from real-time game sessions via DaybreakGames' Census API.,"Functionally equivalent to FISU's services that players are offered. Key functionalities learned include Event Listeners, WebSockets, and JSON De/Serialization. Adapter pattern unwittingly used in payload categorization."
uwo-rostar,RoStar Housing,Integrated the ability to query room numbers and relationally pull up the UUID of the booked student.,"Leveraged largely pre-established infrastructure, extended functionality using existing schemas, and migrated the project from dotnet 3.1 to dotnet 6.X."
uwo-dockerization,Orchestration (Docker-compose),Multi-API project beckoned for dual-purpose support with run configurations.,"Debugged a service containing multiple APIs, each serving its own purpose, and provided user-friendly dual-purpose support for two run configurations."
uwo-docker-guides,Docker Guides,Wrote a 3-page guide on how teammates could modify their environment to enhance debugging capabilities.,"The pages were first drafted in Obsidian and then ported into Confluence pending formatting changes.  Conversion was handled through Obsidian's Convert to PDF feature, and several other teammates were then able to debug individual containers with ease with a single comand instead of going through more arduous means of launching."
vtm-portfolio,Personal Site,Having a QR Code on your card warrants a website,"A portfolio to link to my resume and provide a more interactive experience for potential employers.  Built using a suite of AI-driven tools, designed around the Jekyll environment that Github Pages supports."
vtm-ai-poster,Safe GenAI Flowchart,"A single graphic detailing principles, ordered steps, and guidelines for leveraging abstractions at a linguistic level.","Non technical; emphasizes the importance of leveraging abstractions instead of a technical, object-oriented approach."
flavorflav,FlavorFlav (Team Project),Recipe-oriented Social Media Platform,"Features include autocomplete, a strategy pattern, and unit testing on the Android platform.  More notably, the autocomplete was written following the Strategy design pattern, and was very effective in capturing the stakeholder (audience)'s attenion during demonstration."
uwo-surveyor,Athlete Surveyor,An app for faculty to check in on the well-being of students with form generation for reports.,"Although ultimately unpublished, the amount of work that was poured into the schema was something we were greatful for early on.  Having everything mapped out concretely allowed us to develop for changing needs with much more ease, and "
fvtc-poi-tracker,POITracker,Product of a 5-week agile simulation for tracking changes.,Team Foundations for tracking changes.
temperature-tracker,Temperature Tracker,Deploying bare-bone temperature units using a microcontroller and ESP-01 to relay readings via Wi-Fi.,Data is visualized using an IFTTT endpoint to collect readings into a spreadsheet.
frugal-fashion,Frugal Fashion,A site built for a local fashion merchant with features for non-technical users.,Built to allow frequent changes of venues and authentication for the owner to maintain a local store of files on a Replit-hosted server.
workflow-playground,Workflow Playground,Experimenting with automated workflows bound to repositories.,Continuous deployment with GitHub repository integration.
handwriting-visualizer-pipeline,Handwriting Visualizer Pipeline,A variation on a handwriting recognition dataset handcrafted with a LiveScribe pen.,Investigated the effectiveness of a CNN trained to recognize images using a centralized dataset versus poor handwriting.
fwappa,Flutter UI Mockup,Produce a Dart/Flutter UI mockup for a flight-tracking app.,My job was to produce a Dart/Flutter UI mockup for a flight-tracking app. The app was to be used by a pilots to track which airports they've visited with a plane
